csvdate,nav
2021-12-06,10.0
2021-12-07,10.0
2021-12-08,10.0
2021-12-09,10.0
2021-12-10,10.0
2021-12-13,10.0
2021-12-14,10.0
2021-12-15,10.0
2021-12-16,10.0
2021-12-17,10.0
2021-12-20,10.0
2021-12-21,10.0
2021-12-22,10.0
2021-12-23,10.0
2021-12-24,10.0
2021-12-28,10.0
2021-12-29,10.0
2021-12-30,10.0
2021-12-31,10.0
2022-01-04,10.0
2022-01-05,10.0
2022-01-06,10.0
2022-01-07,10.0
2022-01-10,10.0
2022-01-11,10.0
2022-01-12,10.0
2022-01-13,10.0
2022-01-14,10.0
2022-01-17,10.0
2022-01-18,10.0
2022-01-19,10.0
2022-01-20,10.0
2022-01-21,10.0
2022-01-24,10.0
2022-01-25,10.0
2022-01-26,10.0
2022-01-27,10.0
2022-01-28,10.0
2022-02-07,10.0
2022-02-08,10.0
2022-02-09,10.0
2022-02-10,10.0
2022-02-11,10.0
2022-02-14,10.0
2022-02-15,10.0
2022-02-16,10.0
2022-02-17,10.0
2022-02-18,10.0
2022-02-21,10.0
2022-02-22,10.0
2022-02-23,10.0
2022-02-24,10.0
2022-02-25,10.0
2022-02-28,10.0
2022-03-01,10.0
2022-03-02,10.0
2022-03-03,10.0
2022-03-04,10.0
2022-03-07,10.0
2022-03-08,10.0
2022-03-09,10.0
2022-03-10,10.0
2022-03-11,10.0
2022-03-14,10.0
2022-03-15,10.0
2022-03-16,10.0
2022-03-17,10.0
2022-03-18,10.0
2022-03-21,10.0
2022-03-22,10.0
2022-03-23,10.0
2022-03-24,10.0
2022-03-25,10.0
2022-03-28,10.0
2022-03-29,10.0
2022-03-30,10.0
2022-03-31,10.0
2022-04-01,10.0
2022-04-06,10.0
2022-04-07,10.0
2022-04-08,10.0
2022-04-11,10.0
2022-04-12,10.0
2022-04-13,10.0
2022-04-14,10.0
2022-04-19,10.0
2022-04-20,10.0
2022-04-21,10.0
2022-04-22,10.0
2022-04-25,10.0
2022-04-26,10.0
2022-04-27,10.0
2022-04-28,10.0
2022-04-29,10.0
2022-05-05,10.0
2022-05-06,10.0
2022-05-10,10.0
2022-05-11,10.0
2022-05-12,10.0
2022-05-13,10.0
2022-05-16,10.0
2022-05-17,10.0
2022-05-18,10.0
2022-05-19,10.0
2022-05-20,10.0
2022-05-23,10.0
2022-05-24,10.0
2022-05-25,10.0
2022-05-26,10.0
2022-05-27,10.0
2022-05-30,10.0
2022-05-31,10.0
2022-06-01,10.0
2022-06-02,10.0
2022-06-06,10.0
2022-06-07,10.0
2022-06-08,10.0
2022-06-09,10.0
2022-06-10,10.0
2022-06-13,10.0
2022-06-14,10.0
2022-06-15,10.0
2022-06-16,10.0
2022-06-17,10.0
2022-06-20,10.0
2022-06-21,10.0
2022-06-22,10.0
2022-06-23,10.0
2022-06-24,10.0
2022-06-27,10.0
2022-06-28,10.0
2022-06-29,10.0
2022-06-30,10.0
2022-07-04,10.0
2022-07-05,10.0
2022-07-06,10.0
2022-07-07,10.0
2022-07-08,10.0
2022-07-11,10.0
2022-07-12,10.0
2022-07-13,10.0
2022-07-14,10.0
2022-07-15,10.0
2022-07-18,10.0
2022-07-19,10.0
2022-07-20,10.0
2022-07-21,10.0
2022-07-22,10.0
2022-07-25,10.0
2022-07-26,10.0
2022-07-27,10.0
2022-07-28,10.0
2022-07-29,10.0
2022-08-01,10.0
2022-08-02,10.0
2022-08-03,10.0
2022-08-04,10.0
2022-08-05,10.0
2022-08-08,10.0
2022-08-09,10.0
2022-08-10,10.0
2022-08-11,10.0
2022-08-12,10.0
2022-08-15,10.0
2022-08-16,10.0
2022-08-17,10.0
2022-08-18,10.0
2022-08-19,10.0
2022-08-22,10.0
2022-08-23,10.0
2022-08-24,10.0
2022-08-25,10.0
2022-08-26,10.0
2022-08-29,10.0
2022-08-30,10.0
2022-08-31,10.0
2022-09-01,10.0
2022-09-02,10.0
2022-09-05,10.0
2022-09-06,10.0
2022-09-07,10.0
2022-09-08,10.0
2022-09-09,10.0
2022-09-13,10.0
2022-09-14,10.0
2022-09-15,10.0
2022-09-16,10.0
2022-09-19,10.0
2022-09-20,10.0
2022-09-21,10.0
2022-09-22,10.0
2022-09-23,10.0
2022-09-26,10.0
2022-09-27,10.0
2022-09-28,10.0
2022-09-29,10.0
2022-09-30,10.0
2022-10-10,10.0
2022-10-11,10.0
2022-10-12,10.0
2022-10-13,10.0
2022-10-14,10.0
2022-10-17,10.0
2022-10-18,10.0
2022-10-19,10.0
2022-10-20,10.0
2022-10-21,10.0
2022-10-24,10.0
2022-10-25,10.0
2022-10-26,10.0
2022-10-27,10.0
2022-10-28,10.0
2022-10-31,10.0
2022-11-01,10.0
2022-11-02,10.0
2022-11-03,10.0
2022-11-04,10.0
2022-11-07,10.0
2022-11-08,10.0
2022-11-09,10.0
2022-11-10,10.0
2022-11-11,10.0
2022-11-14,10.0
2022-11-15,10.0
2022-11-16,10.0
2022-11-17,10.0
2022-11-18,10.0
2022-11-21,10.0
2022-11-22,10.0
2022-11-23,10.0
2022-11-24,10.0
2022-11-25,10.0
2022-11-28,10.0
2022-11-29,10.0
2022-11-30,10.0
2022-12-01,10.0
2022-12-02,10.0
2022-12-05,10.0
2022-12-06,10.0
2022-12-07,10.0
2022-12-08,10.0
2022-12-09,10.0
2022-12-12,10.0
2022-12-13,10.0
2022-12-14,10.0
2022-12-15,10.0
2022-12-16,10.0
2022-12-19,10.0
2022-12-20,10.0
2022-12-21,10.0
2022-12-22,10.0
2022-12-23,10.0
2022-12-28,10.0
2022-12-29,10.0
2022-12-30,10.0
2023-01-03,10.0
2023-01-04,10.0
2023-01-05,10.0
2023-01-06,10.0
2023-01-09,10.0
2023-01-10,10.0
2023-01-11,10.0
2023-01-12,10.0
2023-01-13,10.0
2023-01-16,10.0
2023-01-17,10.0
2023-01-18,10.0
2023-01-19,10.0
2023-01-20,10.0
2023-01-30,10.0
2023-01-31,10.0
2023-02-01,10.0
2023-02-02,10.0
2023-02-03,10.0
2023-02-06,10.0
2023-02-07,10.0
2023-02-08,10.0
2023-02-09,10.0
2023-02-10,10.0
2023-02-13,10.0
2023-02-14,10.0
2023-02-15,10.0
2023-02-16,10.0
2023-02-17,10.0
2023-02-20,10.0
2023-02-21,10.0
2023-02-22,10.0
2023-02-23,10.0
2023-02-24,10.0
2023-02-27,10.0
2023-02-28,10.0
2023-03-01,10.0
2023-03-02,10.0
2023-03-03,10.0
2023-03-06,10.0
2023-03-07,10.0
2023-03-08,10.0
2023-03-09,10.0
2023-03-10,10.0
2023-03-13,10.0
2023-03-14,10.0
2023-03-15,10.0
2023-03-16,10.0
2023-03-17,10.0
2023-03-20,10.0
2023-03-21,10.0
2023-03-22,10.0
2023-03-23,10.0
2023-03-24,10.0
2023-03-27,10.0
2023-03-28,10.0
2023-03-29,10.0
2023-03-30,10.0
2023-03-31,10.0
2023-04-03,10.0
2023-04-04,10.0
2023-04-06,10.0
2023-04-11,10.0
2023-04-12,10.0
2023-04-13,10.0
2023-04-14,10.0
2023-04-17,10.0
2023-04-18,10.0
2023-04-19,10.0
2023-04-20,10.0
2023-04-21,10.0
2023-04-24,10.0
2023-04-25,10.0
2023-04-26,10.0
2023-04-27,10.0
2023-04-28,10.0
2023-05-04,10.0
2023-05-05,10.0
2023-05-08,10.0
2023-05-09,10.0
2023-05-10,10.0
2023-05-11,10.0
2023-05-12,10.0
2023-05-15,10.0
2023-05-16,10.0
2023-05-17,10.0
2023-05-18,10.0
2023-05-19,10.0
2023-05-22,10.0
2023-05-23,10.0
2023-05-24,10.0
2023-05-25,10.0
2023-05-29,10.0
2023-05-30,10.0
2023-05-31,10.0
2023-06-01,10.0
2023-06-02,10.0
2023-06-05,10.0
2023-06-06,10.0
2023-06-07,10.0
2023-06-08,10.0
2023-06-09,10.0
2023-06-12,10.0
2023-06-13,10.0
2023-06-14,10.0
2023-06-15,10.0
2023-06-16,10.0
2023-06-19,10.0
2023-06-20,10.0
2023-06-21,10.0
2023-06-26,10.0
2023-06-27,10.0
2023-06-28,10.0
2023-06-29,10.0
2023-06-30,10.0
2023-07-03,10.0
2023-07-04,10.0
2023-07-05,10.0
2023-07-06,10.0
2023-07-07,10.0
2023-07-10,10.0
2023-07-11,10.0
2023-07-12,10.0
2023-07-13,10.0
2023-07-14,10.0
2023-07-18,10.0
2023-07-19,10.0
2023-07-20,10.0
2023-07-21,10.0
2023-07-24,10.0
2023-07-25,10.0
2023-07-26,10.0
2023-07-27,10.0
2023-07-28,10.0
2023-07-31,10.0
2023-08-01,10.0
2023-08-02,10.0
2023-08-03,10.0
2023-08-04,10.0
2023-08-07,10.0
2023-08-08,10.0
2023-08-09,10.0
2023-08-10,10.0
2023-08-11,10.0
2023-08-14,10.0
2023-08-15,10.0
2023-08-16,10.0
2023-08-17,10.0
2023-08-18,10.0
2023-08-21,10.0
2023-08-22,10.0
2023-08-23,10.0
2023-08-24,10.0
2023-08-25,10.0
2023-08-28,10.0
2023-08-29,10.0
2023-08-30,10.0
2023-08-31,10.0
2023-09-04,10.0
2023-09-05,10.0
2023-09-06,10.0
2023-09-07,10.0
2023-09-11,10.0
2023-09-12,10.0
2023-09-13,10.0
2023-09-14,10.0
2023-09-15,10.0
2023-09-18,10.0
2023-09-19,10.0
2023-09-20,10.0
2023-09-21,10.0
2023-09-22,10.0
2023-09-25,10.0
2023-09-26,10.0
2023-09-27,10.0
2023-09-28,10.0
2023-10-09,10.0
2023-10-10,10.0
2023-10-11,10.0
2023-10-12,10.0
2023-10-13,10.0
2023-10-16,10.0
2023-10-17,10.0
2023-10-18,10.0
2023-10-19,10.0
2023-10-20,10.0
2023-10-24,10.0
2023-10-25,10.0
2023-10-26,10.0
2023-10-27,10.0
2023-10-30,10.0
2023-10-31,10.0
2023-11-01,10.0
2023-11-02,10.0
2023-11-03,10.0
2023-11-06,10.0
2023-11-07,10.0
2023-11-08,10.0
2023-11-09,10.0
2023-11-10,10.0
2023-11-13,10.0
2023-11-14,10.0
2023-11-15,10.0
2023-11-16,10.0
2023-11-17,10.0
2023-11-20,10.0
2023-11-21,10.0
2023-11-22,10.0
2023-11-23,10.0
2023-11-24,10.0
2023-11-27,10.0
2023-11-28,10.0
2023-11-29,10.0
2023-11-30,10.0
2023-12-01,10.0
2023-12-04,10.0
2023-12-05,10.0
2023-12-06,10.0
2023-12-07,10.0
2023-12-08,10.0
2023-12-11,10.0
2023-12-12,10.0
2023-12-13,10.0
2023-12-14,10.0
2023-12-15,10.0
2023-12-18,10.0
2023-12-19,10.0
2023-12-20,10.0
2023-12-21,10.0
2023-12-22,10.0
2023-12-26,10.0
2023-12-27,10.0
2023-12-28,10.0
2023-12-29,10.0
2024-01-02,10.0
2024-01-03,10.0
2024-01-04,10.0
2024-01-05,10.0
2024-01-08,10.0
2024-01-09,10.0
2024-01-10,10.0
2024-01-11,10.0
2024-01-12,10.0
2024-01-15,10.0
2024-01-16,10.0
2024-01-17,10.0
2024-01-18,10.0
2024-01-19,10.0
2024-01-22,10.0
2024-01-23,10.0
2024-01-24,10.0
2024-01-25,10.0
2024-01-26,10.0
2024-01-29,10.0
2024-01-30,10.0
2024-01-31,10.0
2024-02-01,10.0
2024-02-02,10.0
2024-02-05,10.0
2024-02-06,10.0
2024-02-07,10.0
2024-02-08,10.0
2024-02-19,10.0
2024-02-20,10.0
2024-02-21,10.0
2024-02-22,10.0
2024-02-23,10.0
2024-02-26,10.0
2024-02-27,10.0
2024-02-28,10.0
2024-02-29,10.0
2024-03-01,10.0
2024-03-04,10.0
2024-03-05,10.0
2024-03-06,10.0
2024-03-07,10.0
2024-03-08,10.0
2024-03-11,10.0
2024-03-12,10.0
2024-03-13,10.0
2024-03-14,10.0
2024-03-15,10.0
2024-03-18,10.0
2024-03-19,10.0
2024-03-20,10.0
2024-03-21,10.0
2024-03-22,10.0
2024-03-25,10.0
2024-03-26,10.0
